Publication Date,Title,Acronym,Venue,PLMs,Tasks,Research Direction,Addressed Challenges,Limitations,Work Contribution 
2022-11-02,Investigating Prompt Learning for Chinese Few-Shot Text Classification with Pre-Trained Language Models,--,Applied Sciences (Switzerland),"BART, RoBERTa-wwmlarge",Classification,"They propose a prompt-based Chinese text classification framework utilizing a template generation module. Furthermore, to select the most informative example for applying demonstration learning with the query sentence, we combine the cosine similarity and the mutual information and form a novel joint correlation scoring function.",Text classification tend to struggle in real-world aplications with few annotated samples. Existing prompt based methods mainly focus on english tasks and cannot adapt to chinese.,"To achieve the best performance on different tasks, the template generation module needs to be retrained on different corpus in order to generate task-specific templates, which is inefficient in real-life applications. During template evaluation, the best-performing template needs to be selected by zero-shot prediction on the validation set, which is acceptable when the sample size is small; however, it can be time-consuming in traditional text classification tasks. In order to generate high-quality templates, text-to-text pretrained models are used for fine-tuning and text generation tasks, a process that requires a high level of computer hardware.",Discrete template search in framework with demonstration candidate filtering strategy (selecting most infomrative examples from training set)
2024-05-24,KBPT: knowledge-based prompt tuning for zero-shot relation triplet extraction,KBPT,PeerJ Computer Science,"BERT-base, BERT-large",Information Extraction,Novel method called Knowledge-Based Prompt Tuning (KBPT) was proposed for zero-shot relation triplet extraction.  The proposed model effectively addresses the zero-shot setting problem.,"Knowledge representation is increasingly recognized as an effective method for information extraction. Nevertheless, numerous studies have disregarded its potential applications in the zero-shot setting.",--,Hard prompting in framework
2023-07-01,KLAPrompt: Infusing Semantic Knowledge into Pre-trained Language Models by Long-answer Prompt Learning,KLAPrompt,SEKE ,"BERT, RoBERTa, MacBERT","Classification, Semantic Textual Similarity",KLAPrompt proposes a long answer prompt-learning method incorporating semantic knowledge from the Xinhua Dictionary and splitting the answer space into several subspaces,"Prompt learning is an effective approach at leveraging PLMs for specific task without additional high computing time. However, most prompt learning methods accept one token as the answer instead of multiple tokens.",--,Continuous prompt learning with subanswer space in framework
2023-11-03,Knowledge Prompt-tuning for Sequential Recommendation,KP4SR,ACM MM,T5,Recommendation Systems,"They developed KP4SR, which is the first work that transforms KG into knowledge prompts to improve SR. By developing prompt templates and employing prompt denoising (utilizing a knowledge tree) their experiments demonstrate the effectiveness of their method. ","PLMs for SR methods still lack domain knowledge and struggle to capture users’ fine-grained preferences. Meanwhile, many traditional SR methods improve this issue by integrating side information while suffering from information loss.","Due to the input length limitation, the maximum length of the useritem interaction sequence in the previous studies was set to 5.",Hard prompting in framework
2023-06-04,Knowledge-Augmented Frame Semantic Parsing with Hybrid Prompt-Tuning,KAF-SPA,ICASSP ,T5-base,Semantic Parsing ,"They proposed KAF-SPA, a model composed by a memory-based knowledge extraction module (MKEM) and a task-oriented knowledge probing module (TKPM). MKEM selects the relevant frame knowledge from a knowledge source and constructs the continuous knowledge vector while TKPM integrates the knowledge into the prompt and frames it to the PLM as an argument identification task","Ms in semantic parsing tasks tend to favor collocated patterns presented in training data, leading to inaccurate outcomes",--,Hybrid KE prompt in framework
2024-04-18,Knowledge-Enhanced Prompt Learning for Few-Shot Text Classification,SKPT,Big Data and Cognitive Computing,RoBERTa-large,Classification,"Introduce knowledge at three stages: constructing the prompt template, constructing the prompt verbalizer","Constructing appropriate prompt templates and verbalizers remains challenging, as manual prompts often require expert knowledge, while auto-constructing prompts is time-consuming. In addition, the extensive knowledge contained in entities and relations should not be ignored. ",It's an intricate process. More effective features from external knowledge graphs or knowledge bases will enhance the performance,Hard prompting in framework
2023-03-21,Knowledge-Guided Prompt Learning for Few-Shot Text Classification,PTCKT,Electronics (Switzerland),BERT-base-chinese,Classification,"They studied how to solve the problem of text classification based on prompt learning guided by knowledge. They assumed that knowledge and text labels are highly correlated and argued that exploiting knowledge explicitly can improve the efficiency of text classification. They proposed two approaches to exploit knowledge: One is to directly encode the knowledge in the prompt template, and the other is to solve text classification and knowledge detection in a multi-task prompt model. Experiments showed that their proposed model worked well for the few-shot and zero-shot settings in most cases. ","The previous study of knowledge probing showed that the success of prompt learning contributes to the implicit knowledge stored in pre-trained language models. However, how this implicit knowledge helps solve downstream tasks remains unclear.",--,Discrete prompt in framework with external knowledge insertion
2024-10-23,Knowledge-injected Prompt Learning for Chinese Biomedical Entity Normalization,PL-Knowledge,ACM Transactions on Computer Systems,MC-BERT,Biomedical Entity Normalization,"The method uniquely combines external medical knowledge with prompt learning, significantly improving BEN performance.","Existing research falls short in tackling the more complex Chinese BEN task, especially in the few-shot scenario
with limited medical data, and the vast potential of the external medical knowledge base has not yet been fully
exploited.","Handling medical entity texts with complex data formats or relationships or with special structures. Dependency on the quality of the external knowledge base and efficient methods of
knowledge integration",Hybrid prompting in framework
2022-04-29,KnowPrompt: Knowledge-aware Prompt-tuning with Synergistic Optimization for Relation Extraction,KnowPrompt,ACM ,RoBERTa,Relation Extraction,Enhancing relation extraction using prompt-tuning with knowledge injection,"Difficulty in determining appropriate prompts for RE, computational complexity in label word search, and incorporating semantic knowledge from relation labels",--,Proposes a novel approach for integrating knowledge into prompt-tuning for relation extraction tasks
2024-02-13,Leveraging Chain-of-Thought to Enhance Stance Detection with Prompt-Tuning,PSDCOT,Mathematics,RoBERTa-large,Stance Detection,"They propose a novel prompt-based stance detection approach, referred to as PSDCOT, which utilizes a chain-of-thought method to elicit knowledge and fuses knowledge through a multi-prompt learning network. ","Applying commondly used techniques in real-world scenarios remains challenging for several reasons. Firstly, existing methods often require the use of complex attention mechanisms to filter out noise and extract relevant background knowledge, which involves significant annotation efforts. Secondly, knowledge fusion mechanisms typically rely on fine-tuning, which can introduce a gap between the pre-training phase of pre-trained language models (PLMs) and the downstream stance detection tasks, leading to the poor prediction accuracy of the PLMs.",--,Hard prompting in framework
2024-04-15,Leveraging Pretrained Language Models for Enhanced Entity Matching: A Comprehensive Study of Fine-Tuning and PromptLearning Paradigms,--,International Journal of Intelligent Systems,--,--,"The results indicate that the soft prompt consistently out-performs other approaches across all datasets, demon-strating that generating template embeddings ina continuous space can enhance the performance of EM.","This study, for the frst time, explores the potential of using a PLM to boost the EM task through two transfer learning techniques, namely, fne-tuning andprompt learning. ",--,Investigation utilizing hard/soft prompts for EM tasks.
2023-02-27,Making Pre-trained Language Models End-to-end Few-shot Learners with Contrastive Prompt Tuning ,CP-Tuning,WSDM,"RoBERTa-large, ALBERT-large ","Sentiment Analysis, Sentence Matching, NLI, Classification","They present an end-to-end Contrastive Prompt Tuning (CP-Tuning) framework that enables few-shot learning for PLMs without designing any task-specific prompts and verbalizers. In CPTuning, we employ task-invariant continuous prompt encoding and the Pair-wise Cost-sensitive Contrastive Loss (PCCL) to train the model. Specifically, task-invariant prompt encoding eases the process of hand-crafting prompts, while PCCL learns to distinguish different classes and makes the decision boundary smoother by assigning different costs to easy and hard cases. ","In most existing approaches, the high performance of promptbased learning heavily relies on handcrafted prompts and verbalizers, which may limit the application of such approaches in real-world scenarios.",--,Continuous task-invariant prompting in framework
2023-06-26,Matching Exemplar as Next Sentence Prediction (MeNSP): Zero-Shot Prompt Learning for Automatic Scoring in Science Education,MeNSP,AIED ,BERT,Automatic Scoring,Zero-shot approach for automatically scoring student responses based on exemplars without training. They reformed the scoring procedure as a NSP task and employed a zero grade identifier.,"NLP models to automatically score students’ written responses to science problems is critical for science education. However, collecting sufficient student responses and labeling them for training or fine-tuning NLP models is time and cost-consuming. PLMs could be adopdet with prompts but no research has employed sucha a prompt approach in science education.","The quality of the improvement is related to the characteristics of the training samples, for example, the diversity of the sample responses.",Discrete prompt in framework
2023-08-06,Medical text classification based on the discriminative pre-training model and prompt-tuning,--,Digital Health,ERNIE-Health,Classification,"By wrapping the raw input tesxt into a new input sequence with a template and calculate the probability distribution of ccandidate words, the category of a medical text can be inferred by the predicted word without using extra parameters or classiﬁers.",Classical fine-tuning approaches introduce additional parameters when training an extra classifier. The use of prompts should exploit the LLM without require the additional params.,"Their method still relies onthe quality and quantity of training data. Insufﬁcient ornoisy training data may negatively affect the performance. Secondly, their method may not be robust to noise anderrors in the input. In the real world, the input text maycontain errors or noise, which may affect the performance.Lastly, the generalizability of their model to other languagesand domains is an open research question. In their experi-ments, we focused on the Chinese language and themedical domain. However, the effectiveness of their modelin other languages and domains remains to be explored.",Discrete prompting in framework
2023-06-12,MedKPL: A heterogeneous knowledge enhanced prompt learning framework for transferable diagnosis ,--,Journal of Biomedical Informatics,BERT-base-chinese,Classification,"They propose a medical knowledge-enhanced prompt learning paradigm called MedKPL and achieve state-of-the-art classification results by incorporating medical knowledge implicitly and explicitly.  With the advantage of knowledge extraction and uniform process, their model can eliminate the difference among different sources and organize all knowledge into one representation style. The introduction of knowledge and prompt learning method exploits better few-shot and zero-shot transferability among departments. ","Each clinician now wants to have his own intelligent diagnostic partner to expand the range of services he can provide. However, the implementation of intelligent decision support systems based on clinical note has been hindered by the lack of extensibility of end-to-end AI diagnosis algorithms. Existing methods, however, cannot integrate knowledge from various knowledge sources as prompts nor can fully utilize explicit and implicit knowledge.",--,Discrete promting in framework with knowledge enhanced technique
2024-07-10,Meta Soft Prompting and Learning,--,APSIPA,BERT,Classification,"Based on the doubly-looped optimization, the learned meta learner was able to extract useful features and soft-ptompts could successfully boost a frozen pre-trained model to capture domain-specific information ",Parameter efficient learning for domain-agnostic soft prompt which is developed for few-shot unsupervised domain adaptation.,--,Soft Prompting in framework
2024-03-26,Model tuning or prompt Tuning? a study of large language models for clinical concept and relation extraction,--,Journal of Biomedical Informatics,--,--,"The prompting (e.g., hard or soft) and training strategies (e.g., frozen LLM or unfrozen LLM) are critical for performance. Training with frozen LLMs is more parameter efficient, yet, to enjoy this benefit of frozen LLMs, large LLMs with parameters over billions of parameters are required. Soft prompting with frozen LLMs is parameter efficient to adopt LLMs for patient information extraction. ",Developed a soft prompt-based learning architecture and compared 4 strategies including (1) finetuning without prompts; (2) hard-prompting with unfrozen LLMs; (3) soft-prompting with unfrozen LLMs; and (4) soft-prompting with frozen LLMs.,--,Study
2023-09-28,MsPrompt: Multi-step prompt learning for debiasing few-shot event detection,MsPrompt,Information Processing and Management,BERT-base-uncased,Event Detection,"MsPrompt few-shot approach results show that their model achieves notable performance advantages, especially in the strict low-resource scenarios, and can effectively deal with the debiasing issue for FSED.heir ","Traditional ED models are too data-hungry to accommodate real applications with scarce labeled data. Besides, typical ED models are facing the contextbypassing and disabled generalization issues caused by the trigger bias stemming from ED datasets.",--,Hard prompting in framework
2024-06-18,Multi-Relation Extraction for Cybersecurity Based on Ontology Rule-Enhanced Prompt Learning,--,Electronics (Switzerland),BERT ,NER,"Design a multi-relation extraction model based on ontology rule-enhanced prompt learning, which is a parameter-sharingbased multi-task model. Design of prompt templates combing discrete and continuous tokens and uses rule injection in prompt learning.","This paper addresses the challenges of sample scarcity, zero-shot recognition of “no relation”, and computational redundancy in the field of cybersecurity.",--,Hybrid prompting in framework
2023-05-19,Multi-Stage Prompt Tuning for Political Perspective Detection in Low-Resource Settings,--,Applied Sciences (Switzerland),RoBERTa-large,Political Bias Detection,"They proposed a novel multi-stage prompt tuning framework for political perspective detection in news media. In particular, they tune domain-specific prompts using a frozen pre-trained language model that learns the MP3 task. The experimental results confirm that their methodology significantly outperforms the strong baseline methods in few-shot and full data settings.","Political perspective detection in news media—identifying political bias in news articles—is an essential but challenging low-resource task. Prompt-based learning suffer performance degradation when the target task involves a textual domain (e.g., a political domain) different from the pre-training task (e.g., masked language modeling on a general corpus).",--,Double stage prefix tuning framework
2022-11-09,No more fine-tuning? an experimental evaluation of prompt tuning in code intelligence,--,ESEC/FSE,--,--,"Prompt tuning can outperform finetuning under full-data settings, data scarcity settings, and crossdomain settings. More specifically, it shows great potential in low-resource scenarios, e.g., improving the BLEU scores of fine-tuning by more than 26% on average for code summarization. Their results suggest that instead of fine-tuning, they could adapt prompt tuning for code intelligence tasks to achieve better performance, especially when lacking taskspecific data._x000D_",Empirical evaluation the usage and effect of prompt tuning in code intelligence tasks instead of classical fine-tuning.,--,Experimental evaluation for code intelligence tasks
2022-06-28,Novelty Controlled Paraphrase Generation with Retrieval Augmented Conditional Prompt Tuning,"RAPT, NC-RAPT",AAAI,"GPT-2-medium, GPT-2-large",Paraphrase Generation,Investigating parameter-efficient methods for controlled paraphrase generation,Enhancing paraphrase generation quality while controlling the level of novelty,Potential performance issues on test datasets where examples are semantically distant from the training dataset,Proposing RAPT and NC-RAPT for controlled paraphrase generation with varying levels of lexical novelty
2024-03-25,On Unsupervised Domain Adaptation: Pseudo Label Guided Mixup for Adversarial Prompt Tuning,PL-Mix,AAAI,"BERT-base-uncased, RoBERTa-base",Classification,"They propose a pseudo label guided Mixup method on the adversarial prompt tuning framework, called PL-Mix, to explicitly and directionally align source data with target data and alleviate the noise delivered from  the pseudo label.","unsupervised domain adaptation  methods lack explicit control for aligning the source data and target data within the same label class, degrading the classifier’s performance in the target domain.",--,Soft Prompting in framework
2023-08-19,One Model for All Domains: Collaborative Domain-Prefix Tuning for Cross-Domain NER,CP-NER,IJCAI ,T5,Cross-domain NER,"Tehy propose Cp-NER, a cross-domain NER approach utilizing collaborative domain-prefix tuning to better leverage multiple domain information.","Cross-domain NER is a challenging task to address the low-resource problem in practical scenarios. Previous typical solutions mainly obtain a NER model by pre-trained language models (PLMs) with data from a rich-resource domain and adapt it to the target domain. Owing to the mismatch issue among entity types in different domains, previous approaches normally tune all parameters of PLMs, ending up with an entirely new NER model for each domain. Moreover, current models only focus on leveraging knowledge in one general source domain while failing to successfully transfer knowledge from multiple sources to the target. ",--,Deep prompt tuning in cross-domain framework
2022-04-25,Ontology-enhanced Prompt-tuning for Few-shot Learning,OntoPrompt,ACM,BERT-large,"Relation Extraction, Event Extraction, Knowledge Graph Completion",Enhancing few-shot learning through ontology-based prompt-tuning,"Knowledge missing, knowledge noise, and knowledge heterogeneity",Cannot handle complex or structured knowledge such as OWL reasoning rules or description logic,Proposing and evaluating OntoPrompt for improving few-shot learning tasks
2022-04-01,PADA: Example-based Prompt Learning for on-the-fly Adaptation to Unseen Domains,PADA,ACL,T5,"Rumour Detection, MNLI, Sequence Tagging","Domain adaptation, prompt learning, generalization to unseen domains","Adaptation to any possible target domain, unknown at training time",The prompt generation is limited by the set of source domains and might yield sub-optimal DRFs for unrelated target domains,"Proposing PADA, a technique for adaptation to any target domain"
2023-09-20,Parameter-Efficient Low-Resource Dialogue State Tracking by Prompt Tuning,--,INTERSPEECH,GPT-2 medium,Dialogue State Tracking,"Utilizing soft prompt tokens to learn task-specific properties, they drastically reduce the number of parameters to less than 0.5% of prioir works and achieving better low-resource DST performance. ","Fine-tuning LM for DST is costly, growing exponentially in real-world deployment. There's a need to reduce parameter size and better utilize cross-task shared information.",Main categorized errors: (1) Hallucinations; (2) Omissions; (3) Wrong values,Continuous prompt in framework 
2023-03-23,Personalized Prompt Learning for Explainable Recommendation,PEPLER-D,ACM Transactions on Information Systems,GPT-2 ,Recommendation systems,They e propose two prompt learning approaches to exploit the rich knowledge contained in pre-trained language models for recommendation explanation generation. Their experiments demonstrate the effectiveness of their approaches in generating high-quality explanations as measured by text quality and explainability metrics.,"previous works on user-understandable recommender system mostly adopt recurrent neural networks to meet the ends, leaving the potentially more effective pre-trained Transformer models under-explored. In fact, user and item IDs, as important identifiers in recommender systems, are inherently in different semantic space as words that pre-trained models were already trained on. Thus, how to effectively fuse IDs into such models becomes a critical issue.",Whether the generated explanations possess bias or stereotype against certain groups of users. ,Discrete/Continuous prompt in framework with external knowledge insertion
2022-05-27,PPT: Pre-trained Prompt Tuning for Few-shot Learning,PPT,ACL,"T5-XXL, mT5-XXL, CPM-2",Classification,Improving efficiency and effectiveness of prompt tuning in few-shot learning scenarios,Low performance of prompt tuning in few-shot settings,--," Introduced PPT framework, provided extensive experiments, and demonstrated PPT's effectiveness over other prompt tuning baselines"
2022-10-10,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models,PRCBERT,IEEE/ACM ASE,"BERT-base, BERT-large, RoBERTa-base, RoBERTa-large",Classification,Converts  one multi-class classification problem into 𝐾 binary classification problems utilizing prompt learning. In addition they collect and provide a large-scale labeled dataset (NFR-SO),"Software requirement classification is a longstanding and important problem in requirement engineering. the dataset PROMISE used by the existing approaches for this problem consists of only hundreds of requirements that are outdated according to today’s technology and market trends. Besides, the NLP technique applied in these approaches might be obsolete.","The accuracy of labels may be affected by the tags of StackOverflow itself. They did not experimented with more extensive pre-trained models. Efficiency trade off of PRCBERT, it will take more (lower than
linearly because GPU can accelerate parallel computing to a certain extent) inference time to predict the class of the input sequence.",Discrete prompt in framework
2024-08-23,Prompt learning for metonymy resolution: Enhancing performance with internal prior knowledge of pre-trained language models,PromptMR-CTC,Knowledge-Based Systems,T5-base,Metonymy Resolution,"They developed a series of prompt learning approaches and prompt-tuning augmentation strategies to further enhance the potential of prompt learning. Their experiments demonstrate that PromptMR yields state-of-the-art performance in terms of accuracy, confirming the superiority of prompt learning over the currently popular PLM-based fine-tuning techniques.","Metonymy resolution has become an important NLP task. However, common PLM fine-tuning approaches can be timeconsuming and resource-intensive, and may lead to a loss of factual prior knowledge. ",--,Hard/Soft prompt-tuning augmentation strategies
2023-07-19,Prompt Learning for News Recommendation,Prompt4NR,SIGIR,"BERT-base, RoBERTa, DeBerta",News Recommendation,"They e proposed the Prompt4NR, a prompt learning framework for news recommendation, which transforms the NR task as a cloze-task for the [MASK] prediction task.","Due to the inconsistent task objective with that of PLM, they argue that their modeling paradigm has not well exploited the abundant semantic information and linguistic knowledge embedded in the pre-training process.",--,Discrete/Continuous/Hybrid prompt in framework
2023-07-19,Prompt Learning to Mitigate Catastrophic Forgetting in Cross-lingual Transfer for Open-domain Dialogue Generation,--,SIGIR,mT5,Text Generation,They proposed a prompt learning method that preserves the multilinguality of mPLM during fine-tuning to mitigate the issue. Results on 6 languages demonstrate the effectiveness of the proposed approach.,"Dialogue systems for non-English languages have long been underexplored. More specifically, they investigated the problem of catastrophic forgetting occurred in FS-XLT and MTL in the context of dialogue generation
for non-English languages. ","Cannot provide examples for other languages (Spanish, Italian and Portuguese) due to space limitations.",Discrete tuining in framework
2023-07-30,Prompt Learning with Structured Semantic Knowledge Makes Pre-Trained Language Models Better,KLAPrompt,Electronics (Switzerland),"BERT, RoBERTa, MacBERT, MC-BERT, MedBERT, SMedBERT","Relation Extraction, Text Classification, Sentence Similarity Estimation","They propose a long-answer prompt learning method (KLAPrompt) with three different long-answer strategies (discrete answers, continuous answers, and sentence similarity) to introduce fine-grained semantic knowledge. Experimental results on five open-domain datasets demonstrate that all pre-trained language models trained with the KLAPrompt method have achieved significant improvements compared to the original PLMs. Experiments on five health-related datasets verify that pre-trained language models with the KLAPrompt method can also achieve superior performance based on the strength of the disease knowledge in MedicalKG.","The typical methods of integrating knowledge are designing different pre-training tasks and training from scratch, which requires high-end hardware, massive storage resources, and long computing times. Prompt learning is an effective approach, however most prompt learning methods accept one token as the answer, instead of multiple tokens.",--,Hard/Soft Prompting in framework for multiple token prediction
2024-03-21,Prompt Optimization in Large Language Models,HPT,Mathematics,"GPT-3, RoBERTa-large","Hypothesis Validity,  Semantic Equivalence, Sentiment Prediction, Semantic Textual Similarity, NLI",The continuous representation enables efficient exploration and exploitation over prompts using Gaussian Process-based Bayesian Optimization._x000D_,"Hard prompt optimization can be considered as a combinatorial optimization problem, however, exhaustive search is impractical; thus, an efficient search strategy is needed.",--,Hard prompt search
2024-03-25,Prompt to Transfer: Sim-to-Real Transfer for Traffc Signal Control with Prompt Learning,PromptGAT,AAAi,GPT-4,Traffc Signal Control ,"They propose a prompt-based grounded action transformation method, PromptGAT, for reinforcement learning paradigm to mitigate the sim-to-real performance gap of TSC tasks. Leveraging the inference ability of pre-trained LLMs and incorporating the perceptible domain knowledge.",In TSC performance gaps still exist when simulator-trained policies are deployed to the real world. This issue is mainly introduced by the system dynamic difference between the training simulators and the real-world environments.,--,Hard prompting in framework
2024-02-20,Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning,PromptGAT,AAAI,GPT-4,Traffic Signal Control ,To mitigate the performance gap in sim-to-real transfer for traffic signal control.,The performance gap between policies trained in simulation and those applied in the real world due to differences in system dynamics. The difficulty in handling unobserved states in the real world.,"The work was conducted in a simulation-to-simulation environment, which might not fully reflect real-world challenges.","Introduction of PromptGAT, a method that mitigates the sim-to-real transfer problem in traffic signal control by integrating human knowledge with LLMs."
2022-05-27,Prompt Tuning for Discriminative Pre-trained Language Models,DPT,ACL,ELECTRA,"Classification, QA",Enhancing the stability and performance of tuning discriminative PLMs,"Instability in tuning large PLMs, performance gaps between pre-training and fine-tuning",Potential computational inefficiency for large-scale classification tasks,Presented the first prompt tuning framework for discriminative PLMs
2024-10-14,Prompt Tuning for Item Cold-start Recommendation,PROMO,ACM,SASRec ,Item recommendation,"The research aims to improve ""cold-start"" item recommendations using prompt tuning with positive feedback information (pinnacle feedback) and personalized prompt networks",Semantic gap between content features and recommender tasks. Model bias towards popular items due to the predominance of positive feedback from these items. Annotation costs for creating prompts,--,"Use of positive feedback (pinnacle feedback) as a prompt for ""cold-start"" items"
2022-10-14,Prompt Tuning for Multi-Label Text Classification: How to Link Exercises to Knowledge Concepts?,PTMLTC,Applied Sciences (Switzerland),"TextCNN, TagBert, BertFGM",Classification,They propose a prompt tuning method for multi-label text classification and an exercise-concept dataset. Main idea of the method is that the utilization of a selection threshold to choose the associated exercise-knowledge concept,"Existing methods often overlook automatic linking of exercises to knowledge concepts in intelligent education, a key multi-label text classification problem. In addition, these kind of tasks require large amount of training data for model optimization (time-consuming and labour-intesive). Also, a problem is the number of labelled exercises being small due to the lack of specialized expertise. ",The theshold has a relatively large impact. ,Discrete prompt in framework
2024-08-12,Prompt Tuning on Graph-Augmented Low-Resource Text Classification,G2P2,IEEE Transactions on Knowledge and Data Engineering,"BERT, RoBERTa",Classification,"Given that many text documents are related through an underlying network, they proposed a novel model called Graph-Grounded Pre-training and Prompting (G2P2). It consists of three graph interaction-based contrastive strategies in pre-training, and a prompting mechanism for the jointly pre-trained graph-text model in downstream classification. ","Low-resource text classification, with no or few labeled samples, presents a serious concern for supervised learning. Also, many text data are inherently grounded on a network structure, such as a hyperlink/citation network for online articles, and a user-item purchase network for e-commerce products. These graph structures capture rich semantic relationships, which can potentially  augment low-resource text classification.","When using the same prompts optimized for the base classes, the accuracy of G2P2 markedly diminishes when facing novel, unseen classes. Also, handcrafted prompts require significant manual labor and can give inconsistent performance on different tasks or datasets.",Hard prompting and Soft prompting in framework
2023-09-02,Prompt-Learning for Cross-Lingual Relation Extraction,Prompt-XRE,IJCNN ,mBART,Cross-Lingual Relation Extraction,"Utilization of prompt learning techniques for XRE. Various prompts aiming at discoveringa a prompt which emphasizes practicality and generalization, and avoids limiting the model to a single language. They also created a new RE dataset by extracting EnglishChinese dataset from the WMT17 En-Zh","Extending pre-trained RE models to other languages is challenging, particularly in realworld scenarios where Cross-Lingual Relation Extraction (XRE) is required. There is a limited research on the effective use of multilingual PLMs with prompts to improve XRE.",--,Various prompts for cross-lingual framework
2023-09-23,Prompt-Learning for Short Text Classification,PLST ,IEEE Transactions on Knowledge and Data Engineering,XLM-RoBERTa-large,Classification,The proposed method retrieves top N concepts from the open Knowledge Graph and conducts additional four strategies for verbalizer construction. The experiments show the effectiveness of our method.,"In the short text, the extremely short length, feature sparsity, and high ambiguity pose huge challenges to classification tasks.",--,Hard prompting in framework with knowledge enhanced verbalizer 
2024-10-14,PromSec: Prompt Optimization for Secure Generation of Functional Source Code with Large Language Models (LLMs),PromSec,CCS,"GPT-3.5 Turbo, GPT-4, CodeLlama-70B-Instruct, Bard",Secure code generation,Improving prompt-based optimization for secure and functional code generation,Security vulnerabilities in LLM-generated code and balancing security and functionality in code generation.,"Does not address all types of security vulnerabilities and requires iterative optimization, which may increase processing time","Introduces PromSec, a prompt optimization framework for secure code generation"
2024-04-04,ProRLearn: boosting prompt tuning-based vulnerability detection by reinforcement learning,ProRLearn,ASE,CodeBERT,Code Vulnerability Detection,ProRLearn improves incrementally by interacting with the environment rather than relying solely on static supervisory signals. ,"Combination of prompt tuning and reinforcement learning can ofer a potential opportunity to improve performance
in vulnerability detection. ",Multiple guiding hyperparameters. Dataset dependent learning. ,Hybrid prompting in framework
2022-11-23,PTR: Prompt Tuning with Rules for Text Classification,PTR,AI Open,RoBERTa-large,"Relation Classification, Entity Typing, Intent Classification",Improving text classification efficiency and effectiveness using structured prompts with rules.,Difficulty in manually designing prompts. Inefficiency in auto-generated and soft prompts. Bridging objective gaps in PLMs for downstream tasks.,"Heuristic rule design not optimized, future work includes auto-generating better rules. Limited exploration of integrating pre-training augmentations with PTR.",Combines structured prior knowledge with prompt tuning for efficient many-class classification.
2023-11-27,REKP: Refined External Knowledge into Prompt-Tuning for Few-Shot Text Classification,REKP,Mathematics,RoBERTa,Classification,"They proposed a refined external knowledge into a prompt-tuning (REKP) model for few-shot text classification. They enhanced the verbalizer by adding an external knowledge-expanded label vocabulary, building on prompt learning. Their approach enhances the accuracy of text classification in scenarios with limited new sample quantities, such as healthcare and finance, thereby enabling more precise downstream tasks such as decision analysis, sentiment analysis, and intention recognition.","An important problem of text classification is that the number of new text categories is growing faster than that of human annotation data, which makes many new categories of text data lack a lot of annotation data. As a result, the conventional deep neural network is forced to over-fit, which damages the application in the real world. ",--,"Hard prompting in framework with external knowledge
to enhance the verbalizer through associative extensions."
2022-07-06,Relation Extraction as Open-book Examination: Retrieval-enhanced Prompt Tuning,RetrievalRE,ACM SIGIR,"SpanBERT, KnowBERT, LUKE, MTB ",Relation Extraction,"Approach RE as an open-book examination and propose a new semiparametric paradigm of retrieval-enhanced prompt tuning for relation extraction. They construct an open-book datastore for retrieval regarding prompt-based instance representations and corresponding relation labels as memorized key-value pairs. During inference, the model can infer relations by linearly interpolating the base output of PLM with the non-parametric nearest neighbor distribution over the datastore.",Prompt tuning methods for relation extraction may still fail to generalize on rare or hard patterns given few-shot instances.,--,Discrete prompt in knowledge enhanced framework
2023-08-09,Research on the Application of Prompt Learning Pretrained  Language Model in Machine Translation Task with Reinforcement Learning,--,Electronics (Switzerland),GPT-2,Machine Translation,Novel prompt learning method combined with reinforcement learning to optimize the performance of pretrained language models in machine translation tasks and other related applications. ,Optimization of pretrained language models is essential for specific tasks such as machine translation. This paper presents a novel approach that integrates reinforcement learning with prompt learning to enhance the performance of pretrained language models in machine translation tasks.,One of the key challenges is choosing the optimal prompt strategy and finding the right balance between the learning speed of the model and the quality of the generated outputs. ,Hard prompting in framework with reinforcement learning  
2023-10-17,Robust scientific text classification using prompt tuning based on data augmentation with L2 regularization,--,Information Processing and Management,"BERT, RoBERTa, SciBERT",Classification,They propose pairwise training on text data by using data augmentation with L2 regularization in the training  to enhance prompt tuning. ,"Their results indicate that their method surpasses existing models in terms of accuracy and robustness. Also, they demonstrate their method can also be extended to both scientific and non-scientific domains when the dataset amount is small. their methods can also extend the larger SOTA models like BERT-large-uncased, RoBERTa-large, and XLNet-large-cased.","When there's a large number of instances their method performs slightly worse than the Fine-tuning method.  Also, there are some limitations and challenges with our approach when applied to relatively large scientific text categorization datasets.",Data augmentation and l2 regularization to improve performance
2024-11-01,RPEPL: Tibetan Sentiment Analysis Based on Relative Position Encoding and Prompt Learning,RPEPL,ACM,"Tibetan-Roberta-Base, Tibetan-Alpaca-7B",Sentiment Analysis,Improving sentiment analysis in low-resource languages using prompt learning and relative position encoding,"Low-resource Tibetan NLP, difficulty in word segmentation, lack of annotated data","Model performance is dependent on the size and quality of training data, Large models improve accuracy but increase computational cost","Introduces a novel Tibetan sentiment analysis method using prompt learning, incorporates relative position encoding for improved contextual understanding and enhances word representation in syllable sequences using a squashed lattice structure"
